Year,Entity,Continent,Eólica,Solar,Geotérmica
1975,World,World,,,1300.0
1980,World,World,,,3887.0
1985,World,World,,,4764.0
1990,Africa,Africa,,,45.0
1990,Chile,South America,,,0.0
1990,China,Asia,,,29.3
1990,Costa Rica,North America,,,0.0
1990,Croatia,Europe,,,0.0
1990,El Salvador,North America,,,95.0
1990,Ethiopia,Africa,,,0.0
1990,Europe,Europe,,,617.6
1990,France,Europe,,,4.2
1990,Germany,Europe,,,0.0
1990,Guatemala,North America,,,0.0
1990,Honduras,North America,,,0.0
1990,Iceland,Europe,,,44.8
1990,Italy,Europe,,,545.0
1990,Japan,Asia,,,214.6
1990,Kenya,Africa,,,45.0
1990,Mexico,North America,,,743.0
1990,New Zealand,Oceania,,,261.0
1990,Nicaragua,North America,,,35.0
1990,North America,North America,,,3656.5
1990,Other South & Central America,South America,,,0.0
1990,Papua New Guinea,Oceania,,,0.0
1990,Philippines,Asia,,,888.0
1990,Portugal,Europe,,,3.0
1990,Russia,Europe,,,11.0
1990,South & Central America,South America,,,130.0
1990,Turkey,Europe,,,20.6
1990,United States,North America,,,2913.5
1990,World,World,,,5853.5
1995,Africa,Africa,,,45.0
1995,Chile,South America,,,0.0
1995,China,Asia,,,26.3
1995,Costa Rica,North America,,,55.0
1995,Croatia,Europe,,,0.0
1995,El Salvador,North America,,,105.0
1995,Ethiopia,Africa,,,0.0
1995,Europe,Europe,,,710.9
1995,France,Europe,,,4.2
1995,Germany,Europe,,,0.0
1995,Guatemala,North America,,,0.0
1995,Honduras,North America,,,0.0
1995,Iceland,Europe,,,49.6
1995,Italy,Europe,,,631.7
1995,Japan,Asia,,,413.7
1995,Kenya,Africa,,,45.0
1995,Mexico,North America,,,743.0
1995,New Zealand,Oceania,,,265.0
1995,Nicaragua,North America,,,70.0
1995,North America,North America,,,3913.96
1995,Other South & Central America,South America,,,0.0
1995,Papua New Guinea,Oceania,,,0.0
1995,Philippines,Asia,,,1154.0
1995,Portugal,Europe,,,5.0
1995,Russia,Europe,,,11.0
1995,South & Central America,South America,,,230.0
1995,Turkey,Europe,,,20.4
1995,United States,North America,,,3170.96
1995,World,World,4.7780000000000005,,6770.36
1996,Africa,Africa,,0.0011124251999999,
1996,Algeria,Africa,,0.0,
1996,Argentina,South America,,0.0,
1996,Asia,Asia,,0.061,
1996,Australia,Oceania,,0.016,
1996,Austria,Europe,,0.0017,
1996,Belgium,Europe,,0.0,
1996,Brazil,South America,,0.0,
1996,Bulgaria,Europe,,0.0,
1996,Canada,North America,,0.003,
1996,Chile,South America,,0.0,
1996,China,Asia,,0.001,
1996,Czechia,Europe,,0.0,
1996,Denmark,Europe,,0.0,
1996,Egypt,Africa,,0.0001,
1996,Europe,Europe,,0.0669,
1996,France,Europe,,0.004,
1996,Germany,Europe,,0.028,
1996,Greece,Europe,,0.0,
1996,Honduras,North America,,0.0,
1996,Hungary,Europe,,0.0,
1996,India,Asia,,0.0,
1996,Israel,Asia,,0.0,
1996,Italy,Europe,,0.016,
1996,Japan,Asia,,0.06,
1996,Jordan,Asia,,0.0,
1996,Malaysia,Asia,,0.0,
1996,Mexico,North America,,0.01,
1996,Morocco,Africa,,0.0,
1996,Netherlands,Europe,,0.0007,
1996,North America,North America,,0.0269,
1996,Oceania,Oceania,,0.016,
1996,Pakistan,Asia,,0.0,
1996,Philippines,Asia,,0.0,
1996,Portugal,Europe,,0.0004,
1996,Romania,Europe,,0.0,
1996,Russia,Europe,,0.0,
1996,Slovakia,Europe,,0.0,
1996,South Africa,Africa,,0.0,
1996,South America,South America,,0.0,
1996,South Korea,Asia,,0.0,
1996,Spain,Europe,,0.001,
1996,Sweden,Europe,,0.002,
1996,Switzerland,Europe,,0.008,
1996,Taiwan,Asia,,0.0,
1996,Thailand,Asia,,0.0,
1996,Turkey,Europe,,0.0,
1996,Ukraine,Europe,,0.0,
1996,United Kingdom,Europe,,0.0002,
1996,United States,North America,,0.0139,
1996,World,World,6.07,0.17181242,
1997,Africa,Africa,0.006,0.0031372757,
1997,Algeria,Africa,,0.0,
1997,Argentina,South America,0.009,0.0,
1997,Asia,Asia,1.127,0.0938,
1997,Australia,Oceania,0.004,0.019,
1997,Austria,Europe,0.02,0.0022,
1997,Belgium,Europe,0.009,0.0,
1997,Brazil,South America,0.004,0.0,
1997,Bulgaria,Europe,0.0,0.0,
1997,Canada,North America,0.026,0.003,
1997,Chile,South America,0.0,0.0,
1997,China,Asia,0.146,0.0025,
1997,Costa Rica,North America,0.023,,
1997,Czechia,Europe,,0.0,
1997,Denmark,Europe,1.116,0.0,
1997,Egypt,Africa,0.006,0.0001,
1997,Europe,Europe,4.801,0.0873,
1997,Finland,Europe,0.012,,
1997,France,Europe,0.013,0.006,
1997,Germany,Europe,2.089,0.042,
1997,Greece,Europe,0.029,0.0,
1997,Honduras,North America,,0.0,
1997,Hungary,Europe,,0.0,
1997,India,Asia,0.94,0.0,
1997,Iran,Asia,0.009,,
1997,Ireland,Europe,0.053,,
1997,Israel,Asia,,0.0003,
1997,Italy,Europe,0.103,0.017,
1997,Japan,Asia,0.017,0.091,
1997,Jordan,Asia,,0.0,
1997,Malaysia,Asia,,0.0,
1997,Mexico,North America,0.002,0.011,
1997,Morocco,Africa,0.0,0.0,
1997,Netherlands,Europe,0.329,0.001,
1997,New Zealand,Oceania,0.004075,,
1997,North America,North America,1.662,0.0286,
1997,Norway,Europe,0.005,,
1997,Oceania,Oceania,0.0080749999999999,0.019,
1997,Pakistan,Asia,0.0,0.0,
1997,Philippines,Asia,0.0,0.0,
1997,Poland,Europe,0.002,0.0,
1997,Portugal,Europe,0.039,0.0005,
1997,Romania,Europe,0.0,0.0,
1997,Russia,Europe,,0.0,
1997,Slovakia,Europe,,0.0,
1997,South Africa,Africa,0.0,0.002,
1997,South America,South America,0.013,0.0,
1997,South Korea,Asia,0.001,0.0,
1997,Spain,Europe,0.512,0.001,
1997,Sweden,Europe,0.122,0.002,
1997,Switzerland,Europe,,0.01,
1997,Taiwan,Asia,0.001,0.0,
1997,Thailand,Asia,0.0,0.0,
1997,Tunisia,Africa,0.0,,
1997,Turkey,Europe,0.009,0.0,
1997,Ukraine,Europe,,0.0,
1997,United Kingdom,Europe,0.328,0.0004,
1997,United States,North America,1.611,0.0146,
1997,Uruguay,South America,0.0,,
1997,World,World,7.623075,0.23173727,
1998,Africa,Africa,0.01,0.0051621259999999,
1998,Algeria,Africa,,0.0,
1998,Argentina,South America,0.014,0.0,
1998,Asia,Asia,1.246,0.1393,
1998,Australia,Oceania,0.01,0.023,
1998,Austria,Europe,0.03,0.0029,
1998,Belgium,Europe,0.01,0.0,
1998,Brazil,South America,0.019,0.0,
1998,Bulgaria,Europe,0.0,0.0,
1998,Canada,North America,0.083,0.005,
1998,Chile,South America,0.0,0.0,
1998,China,Asia,0.2,0.005,
1998,Costa Rica,North America,0.027,,
1998,Czechia,Europe,,0.0,
1998,Denmark,Europe,1.42,0.0,
1998,Egypt,Africa,0.006,0.0001,
1998,Europe,Europe,6.3741,0.1054,
1998,Finland,Europe,0.018,,
1998,France,Europe,0.021,0.008,
1998,Germany,Europe,2.877,0.054,
1998,Greece,Europe,0.0381,0.0,
1998,Honduras,North America,,0.0,
1998,Hungary,Europe,,0.0,
1998,India,Asia,0.992,0.0,
1998,Iran,Asia,0.009,,
1998,Ireland,Europe,0.064,,
1998,Israel,Asia,,0.0003,
1998,Italy,Europe,0.197,0.018,
1998,Japan,Asia,0.03,0.133,
1998,Jordan,Asia,,0.0,
1998,Malaysia,Asia,,0.0,
1998,Mexico,North America,0.002,0.012,
1998,Morocco,Africa,0.002,0.0,
1998,Netherlands,Europe,0.379,0.001,
1998,New Zealand,Oceania,0.004075,,
1998,North America,North America,2.253,0.0322,
1998,Norway,Europe,0.008,,
1998,Oceania,Oceania,0.0140749999999999,0.023,
1998,Pakistan,Asia,0.0,0.0,
1998,Philippines,Asia,0.0,0.0,
1998,Poland,Europe,0.002,0.0,
1998,Portugal,Europe,0.051,0.0006,
1998,Romania,Europe,0.0,0.0,
1998,Russia,Europe,,0.0,
1998,Slovakia,Europe,,0.0,
1998,South Africa,Africa,0.0,0.004,
1998,South America,South America,0.033,0.0,
1998,South Korea,Asia,0.001,0.0,
1998,Spain,Europe,0.723,0.001,
1998,Sweden,Europe,0.176,0.002,
1998,Switzerland,Europe,,0.012,
1998,Taiwan,Asia,0.001,0.0,
1998,Thailand,Asia,0.0,0.0,
1998,Tunisia,Africa,0.002,,
1998,Turkey,Europe,0.009,0.0,
1998,Ukraine,Europe,,0.0,
1998,United Kingdom,Europe,0.338,0.0005,
1998,United States,North America,2.141,0.0152,
1998,Uruguay,South America,0.0,,
1998,World,World,9.936175,0.30496213,
1999,Africa,Africa,0.064,0.008199402,
1999,Algeria,Africa,,0.0,
1999,Argentina,South America,0.014,0.0,
1999,Asia,Asia,1.395,0.2214,
1999,Australia,Oceania,0.01,0.025,
1999,Austria,Europe,0.042,0.0037,
1999,Belgium,Europe,0.011,0.0,
1999,Brazil,South America,0.022,0.0,
1999,Bulgaria,Europe,0.0,0.0,
1999,Canada,North America,0.126,0.006,
1999,Chile,South America,0.0,0.0,
1999,China,Asia,0.262,0.01,
1999,Costa Rica,North America,0.035,,
1999,Czechia,Europe,,0.0,
1999,Denmark,Europe,1.738,0.0,
1999,Egypt,Africa,0.036,0.0001,
1999,Europe,Europe,9.2708,0.1315,
1999,Finland,Europe,0.039,,
1999,France,Europe,0.025,0.009,
1999,Germany,Europe,4.4350000000000005,0.07,
1999,Greece,Europe,0.1058,0.0,
1999,Honduras,North America,,0.001,
1999,Hungary,Europe,,0.0,
1999,India,Asia,1.035,0.0,
1999,Iran,Asia,0.009,,
1999,Ireland,Europe,0.074,,
1999,Israel,Asia,,0.0004,
1999,Italy,Europe,0.277,0.018,
1999,Japan,Asia,0.068,0.209,
1999,Jordan,Asia,,0.0,
1999,Malaysia,Asia,,0.0,
1999,Mexico,North America,0.002,0.013,
1999,Morocco,Africa,0.02,0.0,
1999,Netherlands,Europe,0.433,0.005,
1999,New Zealand,Oceania,0.035755,,
1999,North America,North America,2.608,0.0366,
1999,Norway,Europe,0.013,,
1999,Oceania,Oceania,0.045755,0.025,
1999,Pakistan,Asia,0.0,0.0,
1999,Philippines,Asia,0.0,0.0,
1999,Poland,Europe,0.002,0.0,
1999,Portugal,Europe,0.061,0.0009,
1999,Romania,Europe,0.0,0.0,
1999,Russia,Europe,,0.0,
1999,Slovakia,Europe,,0.0,
1999,South Africa,Africa,0.0,0.006,
1999,South America,South America,0.036,0.0,
1999,South Korea,Asia,0.005,0.0,
1999,Spain,Europe,1.408,0.002,
1999,Sweden,Europe,0.22,0.003,
1999,Switzerland,Europe,,0.013,
1999,Taiwan,Asia,0.001,0.0,
1999,Thailand,Asia,0.0,0.0,
1999,Tunisia,Africa,0.008,,
1999,Turkey,Europe,0.009,0.0,
1999,Ukraine,Europe,,0.0,
1999,United Kingdom,Europe,0.362,0.0009,
1999,United States,North America,2.445,0.0166,
1999,Uruguay,South America,0.0,,
1999,World,World,13.426555,0.4235994,
2000,Africa,Africa,0.13905,0.010927,65.3
2000,Algeria,Africa,,0.0,
2000,Argentina,South America,0.014112,2.5e-05,
2000,Asia,Asia,1.41426,0.37112,
2000,Australia,Oceania,0.033,0.025,
2000,Austria,Europe,0.05,0.005,
2000,Belgium,Europe,0.014,0.0,
2000,Brazil,South America,0.022,0.0,
2000,Bulgaria,Europe,0.0,0.0,
2000,Canada,North America,0.092,0.007,
2000,Chile,South America,0.0,0.0,0.0
2000,China,Asia,0.341,0.033515,21.7
2000,Costa Rica,North America,0.0425,,145.0
2000,Croatia,Europe,,,0.0
2000,Czechia,Europe,,0.0001,
2000,Denmark,Europe,2.390015,0.001,
2000,Egypt,Africa,0.074,0.0001,
2000,El Salvador,North America,,,161.2
2000,Ethiopia,Africa,,,7.3
2000,Europe,Europe,12.733664,0.2001,794.0
2000,Finland,Europe,0.038,,
2000,France,Europe,0.038,0.007,0.0
2000,Germany,Europe,6.095,0.114,0.0
2000,Greece,Europe,0.226,0.0,
2000,Guatemala,North America,,,29.0
2000,Honduras,North America,,0.001599,0.0
2000,Hungary,Europe,,0.0,
2000,Iceland,Europe,,,172.0
2000,India,Asia,0.941,0.001084,
2000,Indonesia,Asia,,,525.0
2000,Iran,Asia,0.011,,
2000,Ireland,Europe,0.1165,,
2000,Israel,Asia,,0.0,
2000,Italy,Europe,0.363,0.019,590.0
2000,Japan,Asia,0.084,0.33,533.0
2000,Jordan,Asia,0.0014,1.5e-05,
2000,Kenya,Africa,,,58.0
2000,Malaysia,Asia,,0.0,
2000,Mexico,North America,0.017,0.014,855.0
2000,Morocco,Africa,0.054,0.0067,
2000,Netherlands,Europe,0.447,0.013,
2000,New Zealand,Oceania,0.036,,418.0
2000,Nicaragua,North America,,,21.0
2000,North America,North America,2.5285,0.198599,3648.0
2000,Norway,Europe,0.013,,
2000,Oceania,Oceania,0.069,0.025,
2000,Other South & Central America,South America,,,4.600000000000023
2000,Pakistan,Asia,0.0,0.0,
2000,Papua New Guinea,Oceania,,,0.0
2000,Philippines,Asia,0.0,0.0,1846.5
2000,Poland,Europe,0.004,0.0,
2000,Portugal,Europe,0.083,0.001,14.0
2000,Romania,Europe,0.0,0.0,
2000,Russia,Europe,0.003,0.0,23.0
2000,Slovakia,Europe,,0.0,
2000,South & Central America,South America,,,360.8
2000,South Africa,Africa,0.0,0.0,
2000,South America,South America,0.036262,2.5e-05,
2000,South Korea,Asia,0.007,0.004,
2000,Spain,Europe,2.206,0.01,
2000,Sweden,Europe,0.209,0.003,
2000,Switzerland,Europe,,0.016,
2000,Taiwan,Asia,0.0026,0.0001,
2000,Thailand,Asia,0.0,0.0,
2000,Tunisia,Africa,0.01065,,
2000,Turkey,Europe,0.019,0.0001,18.0
2000,Ukraine,Europe,0.005,0.0,
2000,United Kingdom,Europe,0.412,0.002,
2000,United States,North America,2.377,0.176,2793.0
2000,Uruguay,South America,0.00015,,
2000,Vietnam,Asia,,2e-06,
2000,World,World,16.932482,0.808669,8235.8
2001,Africa,Africa,0.13905,0.013028999,65.3
2001,Algeria,Africa,,0.0,
2001,Argentina,South America,0.024829,2.6e-05,
2001,Asia,Asia,2.176557,0.50622998,
2001,Australia,Oceania,0.076,0.029,
2001,Austria,Europe,0.067,0.007,
2001,Belgium,Europe,0.026,0.0,
2001,Brazil,South America,0.024,3.6e-05,
2001,Bulgaria,Europe,0.0,0.0,
2001,Canada,North America,0.131,0.009,
2001,Chile,South America,0.002,0.0,0.0
2001,China,Asia,0.383,0.03802,21.7
2001,Costa Rica,North America,0.0623,,145.0
2001,Croatia,Europe,,,0.0
2001,Czechia,Europe,,0.0001,
2001,Denmark,Europe,2.497153,0.001,
2001,Egypt,Africa,0.074,0.0005,
2001,El Salvador,North America,,,161.2
2001,Ethiopia,Africa,,,7.3
2001,Europe,Europe,17.395334,0.30036002,807.0
2001,Finland,Europe,0.039,,
2001,France,Europe,0.066,0.007,0.0
2001,Germany,Europe,8.754,0.195,0.0
2001,Greece,Europe,0.27,0.001,
2001,Guatemala,North America,,,29.0
2001,Honduras,North America,,0.001804,0.0
2001,Hungary,Europe,,0.0,
2001,Iceland,Europe,,,202.0
2001,India,Asia,1.563,0.005535,
2001,Indonesia,Asia,,,785.0
2001,Iran,Asia,0.011,,
2001,Ireland,Europe,0.1229,,
2001,Israel,Asia,,0.0,
2001,Italy,Europe,0.664,0.02,573.0
2001,Japan,Asia,0.175,0.453,533.0
2001,Jordan,Asia,0.0014,1.5e-05,
2001,Kenya,Africa,,,58.0
2001,Malaysia,Asia,,0.0,
2001,Mexico,North America,0.017,0.015,838.0
2001,Morocco,Africa,0.054,0.007,
2001,Netherlands,Europe,0.486,0.021,
2001,New Zealand,Oceania,0.036,,417.0
2001,Nicaragua,North America,,,26.0
2001,North America,North America,4.0743,0.238804,3054.0
2001,Norway,Europe,0.013,,
2001,Oceania,Oceania,0.112,0.029,
2001,Other South & Central America,South America,,,4.600000000000023
2001,Pakistan,Asia,0.0,0.0,
2001,Papua New Guinea,Oceania,,,0.0
2001,Philippines,Asia,0.0,0.0,1846.5
2001,Poland,Europe,0.019,0.0,
2001,Portugal,Europe,0.125,0.001,14.0
2001,Romania,Europe,0.0,0.0,
2001,Russia,Europe,0.003,0.0,21.0
2001,Slovakia,Europe,,0.0,
2001,South & Central America,South America,,,365.8
2001,South Africa,Africa,0.0,0.0,
2001,South America,South America,0.050979,6.2e-05,
2001,South Korea,Asia,0.011,0.005,
2001,Spain,Europe,3.397,0.013,
2001,Sweden,Europe,0.295,0.003,
2001,Switzerland,Europe,,0.018,
2001,Taiwan,Asia,0.005,0.0002,
2001,Thailand,Asia,0.0,0.0,
2001,Tunisia,Africa,0.01065,,
2001,Turkey,Europe,0.019,0.0003,18.0
2001,Ukraine,Europe,0.03623,0.0,
2001,United Kingdom,Europe,0.493,0.003,
2001,United States,North America,3.864,0.213,2216.0
2001,Uruguay,South America,0.00015,,
2001,Vietnam,Asia,,0.000108,
2001,World,World,23.968965,1.0929860000000002,7916.8
2002,Africa,Africa,0.14431,0.015243,65.3
2002,Algeria,Africa,,0.0,
2002,Argentina,South America,0.0257979999999999,2.6e-05,
2002,Asia,Asia,2.402797,0.712151,
2002,Australia,Oceania,0.106,0.034,
2002,Austria,Europe,0.109,0.009,
2002,Belgium,Europe,0.031,0.001,
2002,Brazil,South America,0.022,3.6e-05,
2002,Bulgaria,Europe,0.0,0.0,
2002,Canada,North America,0.161,0.01,
2002,Chile,South America,0.002,0.0,0.0
2002,China,Asia,0.449,0.05653,21.7
2002,Costa Rica,North America,0.0623,,144.7
2002,Croatia,Europe,,,0.0
2002,Czechia,Europe,,0.0002,
2002,Denmark,Europe,2.894531,0.002,
2002,Egypt,Africa,0.074,0.0006,
2002,El Salvador,North America,,,161.2
2002,Ethiopia,Africa,,,7.3
2002,Europe,Europe,23.294012,0.38499402,902.0
2002,Finland,Europe,0.043,,
2002,France,Europe,0.138,0.008,0.0
2002,Germany,Europe,12.001,0.26,0.0
2002,Greece,Europe,0.287,0.001,
2002,Guatemala,North America,,,29.0
2002,Honduras,North America,,0.001975,0.0
2002,Hungary,Europe,,0.0,
2002,Iceland,Europe,,,202.0
2002,India,Asia,1.606,0.006705,
2002,Indonesia,Asia,,,785.0
2002,Iran,Asia,0.012,,
2002,Ireland,Europe,0.1348,,
2002,Israel,Asia,,0.0,
2002,Italy,Europe,0.78,0.022,666.0
2002,Japan,Asia,0.277,0.637,533.0
2002,Jordan,Asia,0.0014,1.5e-05,
2002,Kenya,Africa,,,58.0
2002,Malaysia,Asia,,0.0,
2002,Mexico,North America,0.018,0.016,843.0
2002,Morocco,Africa,0.054,0.0077,
2002,Netherlands,Europe,0.672,0.026,
2002,New Zealand,Oceania,0.054,,373.0
2002,Nicaragua,North America,,,77.5
2002,North America,North America,4.6583000000000006,0.282975,3095.0
2002,Norway,Europe,0.097,,
2002,Oceania,Oceania,0.16,0.034,
2002,Other South & Central America,South America,,,4.600000000000023
2002,Pakistan,Asia,0.0,0.0,
2002,Papua New Guinea,Oceania,,,0.0
2002,Philippines,Asia,0.0,0.0,1846.5
2002,Poland,Europe,0.032,0.0,
2002,Portugal,Europe,0.19,0.001,14.0
2002,Romania,Europe,0.0,0.0,
2002,Russia,Europe,0.007,0.0,70.0
2002,Slovakia,Europe,,0.0,
2002,South & Central America,South America,,,417.0
2002,South Africa,Africa,0.00316,0.0,
2002,South America,South America,0.049948,6.2e-05,
2002,South Korea,Asia,0.013,0.005,
2002,Spain,Europe,4.891,0.017,
2002,Sweden,Europe,0.357,0.003,
2002,Switzerland,Europe,,0.02,
2002,Taiwan,Asia,0.0085399999999999,0.00033,
2002,Thailand,Asia,0.0,0.0,
2002,Tunisia,Africa,0.01065,,
2002,Turkey,Europe,0.019,0.0006,18.0
2002,Ukraine,Europe,0.04623,0.0,
2002,United Kingdom,Europe,0.534,0.004,
2002,United States,North America,4.417,0.255,2252.0
2002,Uruguay,South America,0.00015,,
2002,Vietnam,Asia,,0.000236,
2002,World,World,30.733412,1.437059,8109.0
2003,Africa,Africa,0.15361,0.018019001,65.3
2003,Algeria,Africa,,0.0,
2003,Argentina,South America,0.025729,2.6e-05,
2003,Asia,Asia,3.601465,0.95082,
2003,Australia,Oceania,0.19,0.039,
2003,Austria,Europe,0.322,0.023,
2003,Belgium,Europe,0.067,0.001,
2003,Brazil,South America,0.024,0.000716,
2003,Bulgaria,Europe,0.0,0.0,
2003,Canada,North America,0.327,0.012,
2003,Chile,South America,0.002,0.0,0.0
2003,China,Asia,0.547,0.0665999999999999,21.7
2003,Costa Rica,North America,0.0686,,162.7
2003,Croatia,Europe,,,0.0
2003,Czechia,Europe,,0.0003,
2003,Denmark,Europe,3.1199160000000004,0.002,
2003,Egypt,Africa,0.074,0.0006,
2003,El Salvador,North America,,,161.2
2003,Ethiopia,Africa,,,7.3
2003,Europe,Europe,28.160846000000003,0.623771,940.0
2003,Finland,Europe,0.052,,
2003,France,Europe,0.218,0.009,0.0
2003,Germany,Europe,14.381,0.435,0.0
2003,Greece,Europe,0.371,0.001,
2003,Guatemala,North America,,,29.0
2003,Honduras,North America,,0.002128,0.0
2003,Hungary,Europe,,0.0,
2003,Iceland,Europe,,,202.0
2003,India,Asia,2.461,0.007885,
2003,Indonesia,Asia,,,805.0
2003,Iran,Asia,0.016,,
2003,Ireland,Europe,0.2103,,
2003,Israel,Asia,,0.0,
2003,Italy,Europe,0.874,0.026,707.0
2003,Japan,Asia,0.508,0.86,535.0
2003,Jordan,Asia,0.0014,1.5e-05,
2003,Kenya,Africa,,,58.0
2003,Malaysia,Asia,,0.0,
2003,Mexico,North America,0.018,0.016,960.0
2003,Morocco,Africa,0.054,0.0084,
2003,Netherlands,Europe,0.905,0.046,
2003,New Zealand,Oceania,0.072,,378.0
2003,Nicaragua,North America,,,77.5
2003,North America,North America,6.408600000000001,0.3231279999999999,3093.0
2003,Norway,Europe,0.097,,
2003,Oceania,Oceania,0.262,0.039,
2003,Other South & Central America,South America,,,4.600000000000023
2003,Pakistan,Asia,0.0,0.0,
2003,Papua New Guinea,Oceania,,,6.0
2003,Philippines,Asia,0.0,0.0,1846.5
2003,Poland,Europe,0.035,0.0,
2003,Portugal,Europe,0.268,0.002,14.0
2003,Romania,Europe,0.0,0.0,
2003,Russia,Europe,0.009,0.0,70.0
2003,Slovakia,Europe,,0.0,
2003,South & Central America,South America,,,435.0
2003,South Africa,Africa,0.00316,0.0,
2003,South America,South America,0.051879,0.00074200004,
2003,South Korea,Asia,0.019,0.006,
2003,Spain,Europe,5.945,0.022,
2003,Sweden,Europe,0.417,0.004,
2003,Switzerland,Europe,,0.022,
2003,Taiwan,Asia,0.0085399999999999,0.00045,
2003,Thailand,Asia,0.0,0.0,
2003,Tunisia,Africa,0.01937,,
2003,Turkey,Europe,0.019,0.001,15.0
2003,Ukraine,Europe,0.0544,0.0,
2003,United Kingdom,Europe,0.742,0.006,
2003,United States,North America,5.995,0.293,2133.0
2003,Uruguay,South America,0.00015,,
2003,Vietnam,Asia,,0.000406,
2003,World,World,38.670547,1.96503,8195.9
2004,Africa,Africa,0.23613,0.0219959999999999,135.3
2004,Algeria,Africa,,0.0,
2004,Argentina,South America,0.027829,2.6e-05,
2004,Asia,Asia,5.46147,1.241006,
2004,Australia,Oceania,0.379,0.046,
2004,Austria,Europe,0.581,0.027,
2004,Belgium,Europe,0.096,0.001,
2004,Brazil,South America,0.024,0.000718,
2004,Bulgaria,Europe,0.001,0.0,
2004,Canada,North America,0.444,0.014,
2004,Chile,South America,0.002,0.0,0.0
2004,China,Asia,0.763,0.0766,21.7
2004,Costa Rica,North America,0.0686,,165.7
2004,Croatia,Europe,,,0.0
2004,Czechia,Europe,,0.0004,
2004,Denmark,Europe,3.1237120000000003,0.002,
2004,Egypt,Africa,0.15,0.0006,
2004,El Salvador,North America,,,151.2
2004,Ethiopia,Africa,,,7.3
2004,Europe,Europe,34.328266000000006,1.335364,875.2
2004,Finland,Europe,0.082,,
2004,France,Europe,0.358,0.011,0.0
2004,Germany,Europe,16.419,1.105,0.2
2004,Greece,Europe,0.47,0.001,
2004,Guatemala,North America,,,29.0
2004,Honduras,North America,,0.002376,0.0
2004,Hungary,Europe,,0.0,
2004,Iceland,Europe,,,202.0
2004,India,Asia,3.813,0.00781,
2004,Indonesia,Asia,,,820.0
2004,Iran,Asia,0.0249,,
2004,Ireland,Europe,0.3364,,
2004,Israel,Asia,,0.0,
2004,Italy,Europe,1.127,0.031,642.0
2004,Japan,Asia,0.769,1.132,535.0
2004,Jordan,Asia,0.0014,1.5e-05,
2004,Kenya,Africa,,,128.0
2004,Malaysia,Asia,,0.0,
2004,Mexico,North America,0.018,0.016,960.0
2004,Morocco,Africa,0.054,0.0091,
2004,Netherlands,Europe,1.075,0.05,
2004,New Zealand,Oceania,0.166,,378.0
2004,Nicaragua,North America,,,77.5
2004,North America,North America,6.9866,0.395376,3112.0
2004,Norway,Europe,0.152,,
2004,Oceania,Oceania,0.545,0.046,
2004,Other South & Central America,South America,,,4.600000000000023
2004,Pakistan,Asia,0.0,0.0,
2004,Papua New Guinea,Oceania,,,6.0
2004,Philippines,Asia,0.0,0.002,1846.5
2004,Poland,Europe,0.04,0.0,
2004,Portugal,Europe,0.553,0.002,14.0
2004,Romania,Europe,0.0,0.0,
2004,Russia,Europe,0.009,0.0,56.0
2004,Slovakia,Europe,,0.0,
2004,South & Central America,South America,,,428.0
2004,South Africa,Africa,0.00316,0.0,
2004,South America,South America,0.053979,0.000744,
2004,South Korea,Asia,0.029,0.009,
2004,Spain,Europe,8.317,0.033,
2004,Sweden,Europe,0.475,0.004,
2004,Switzerland,Europe,,0.024,
2004,Taiwan,Asia,0.0085399999999999,0.00057,
2004,Thailand,Asia,0.0,0.0,
2004,Tunisia,Africa,0.01937,,
2004,Turkey,Europe,0.019,0.0015,15.0
2004,Ukraine,Europe,0.0714,0.0,
2004,United Kingdom,Europe,0.933,0.008,
2004,United States,North America,6.456,0.363,2152.0
2004,Uruguay,South America,0.00015,,
2004,Vietnam,Asia,,0.000747,
2004,World,World,47.68539,3.051979,8214.1
2005,Africa,Africa,0.2402,0.025965,135.3
2005,Algeria,Africa,,0.0,
2005,Argentina,South America,0.027829,2.6e-05,
2005,Asia,Asia,6.972510000000001,1.6106339,
2005,Australia,Oceania,0.74,0.052,
2005,Austria,Europe,0.825219,0.021018,
2005,Belgium,Europe,0.167,0.002,
2005,Brazil,South America,0.029,0.000718,
2005,Bulgaria,Europe,0.008,0.0,
2005,Canada,North America,0.677,0.018,
2005,Chile,South America,0.002,0.0,0.0
2005,China,Asia,1.06,0.1412,21.7
2005,Costa Rica,North America,0.0686,,165.7
2005,Croatia,Europe,,,0.0
2005,Czechia,Europe,,0.0005859999999999,
2005,Denmark,Europe,3.127836,0.003,
